"TITLE"; "LOCATION"; "TYPE"; "URL"; "SALARY"
"Accounting Manager - 19470"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Accounting-Manager-19470"; "$105,000.00/yr"
"Credit Risk Review Analyst – 6 Month Contract - 19471"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Credit-Risk-Review-Analyst-Month-Contract-19471"; "$24.00/hr"
"Staff Accountant - 19472"; "Markham"; ""; "http://jobs.lannickgroup.com//jobs/Staff-Accountant-19472"; "$60,000.00/yr"
"Intermediate Accountant - 19474"; "Markham"; ""; "http://jobs.lannickgroup.com//jobs/Intermediate-Accountant-19474"; "$85,000.00/yr"
"Finance Coordinator - 19476"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Finance-Coordinator-19476"; "$45,000.00/yr"
"Senior Wordpress/LAMP Developer (CTO) - 19439"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Wordpress-LAMP-Developer-CTO-19439"; "$90,000.00/yr"
"Manager, Financial Reporting - 19456"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Manager-Financial-Reporting-19456"; "$120,000.00/yr"
"Intermediate .NET Developer (Full Stack) - 19461"; "Markham"; ""; "http://jobs.lannickgroup.com//jobs/Intermediate-NET-Developer-Full-Stack-19461"; "$90,000.00/yr"
"Treasury Analyst - 19289"; "St. Catherines"; ""; "http://jobs.lannickgroup.com//jobs/Treasury-Analyst-19289"; "$40.00+/hr"
"Senior Financial Analyst - 19251"; "Newmarket"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Financial-Analyst-19251"; "$80,000.00/yr"
"Senior Bilingual Project Manager - 19410"; "Montreal"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Bilingual-Project-Manager-19410"; ""
"Senior Financial Analyst - 19432"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Financial-Analyst-19432"; "$35.00/hr"
"General Accountant - 19421"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/General-Accountant-19421"; "$85,000.00/yr"
"Senior Accountant - 19427"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Accountant-19427"; "$30.00+/hr"
"Senior Accountant - 19428"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Accountant-19428"; "$80,000.00/yr"
"Tax Administrator - 5 Month Contract - 19429"; "Waterloo"; ""; "http://jobs.lannickgroup.com//jobs/Tax-Administrator-Month-Contract-19429"; "$15.00/hr"
"Senior Financial Analyst - 19415"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Financial-Analyst-19415"; "$85,000.00/yr"
"Senior Internal Auditor - 19384"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Internal-Auditor-19384"; "$104,000.00/yr"
"Senior Real Estate Analyst - 19328"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Real-Estate-Analyst-19328"; "$85,000.00/yr"
"Manager of Financial Reporting - 19335"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Manager-of-Financial-Reporting-19335"; "$100,000.00/yr"
"Business Consultant, IFRS Implementation - 19403"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Business-Consultant-IFRS-Implementation-19403"; ""
"Financial Controller - 19420"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Financial-Controller-19420"; "$160,000.00/yr"
"Consultant - Process Improvement - 19411"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Consultant-Process-Improvement-19411"; "$40.00+/hr"
"Finance Manager - 19400"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/Finance-Manager-19400"; "$110,000.00/yr"
"Manager of Finance - 18472"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Manager-of-Finance-18472"; "$115,000.00/yr"
"Vault Associate - 6 Month Contract - 19058"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Vault-Associate-Month-Contract-19058"; "$14.00/hr"
"Manager"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Manager-17897"; "$110,000.00/yr"
"International Payroll Team Lead - 6 months - 19381"; "Mississauga"; ""; "http://jobs.lannickgroup.com//jobs/International-Payroll-Team-Lead-months-19381"; "$45.00/hr"
"Senior Property Accountant - 19170"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Property-Accountant-19170"; "$75,000.00/yr"
"Senior Financial Reporting Analyst - IFRS - 19191"; "Toronto"; ""; "http://jobs.lannickgroup.com//jobs/Senior-Financial-Reporting-Analyst-IFRS-19191"; "$85,000.00/yr"
"Assistant Executive Director - 19373"; "Hamilton"; ""; "http://jobs.lannickgroup.com//jobs/Assistant-Executive-Director-19373"; "$120,000.00/yr"
"Assistant Controller - 19374"; "Markham"; ""; "http://jobs.lannickgroup.com//jobs/Assistant-Controller-19374"; "$90,000.00/yr"
